商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,交易數量,獲利金額,報酬率,累計獲利金額,累計報酬率,進場訊息,出場訊息
智邦,2345.TW,1,2020/06/01 09:01,買進,243.5,2020/07/16 13:07,賣出,243.5,32,4,-3897,-0.0040000000000006,-3897,-0.0038960000000006,● 首筆進場,時間出場
金像電,2368.TW,1,2020/06/01 09:01,買進,37.55,2020/07/15 09:01,賣出,36.15,31,26,-40233,-0.0412096691590699,-40233,-0.0402329999999999,● 首筆進場,時間出場
健策,3653.TW,1,2020/06/01 09:01,買進,248.0,2020/08/20 10:43,賣出,297.0,57,2,105067,0.211830182804087,105067,0.105067770670827,● 首筆進場,VIX出場
健策,3653.TW,2,2020/06/01 09:01,買進,248.0,2020/08/20 10:43,賣出,297.0,57,2,105067,0.211830182804087,210135,0.210135541341655,● 首筆進場,VIX出場
世芯-KY,3661.TW,1,2020/06/01 09:01,買進,302.5,2020/06/29 10:30,賣出,541.0,19,2,473626,0.782852892561984,473626,0.473626,● 首筆進場,第一段停利(減碼30%)
世芯-KY,3661.TW,2,2020/06/01 09:01,買進,302.5,2020/06/29 12:48,賣出,512.0,19,1,207871,0.687176859504133,681497,0.681497000000001,● 首筆進場,第二段停利(再減30%)
健策,3653.TW,3,2020/06/02 09:08,買進,272.5,2020/08/20 10:43,賣出,297.0,56,2,55969,0.102696826918949,266105,0.266105312012482,★ 獲利加碼 ,VIX出場
世芯-KY,3661.TW,3,2020/06/04 09:01,買進,334.5,2020/08/20 10:43,賣出,582.0,54,1,248390,0.742571375186848,929887,0.929887125000001,★ 獲利加碼 ,VIX出場
世芯-KY,3661.TW,4,2020/06/04 09:16,買進,342.0,2020/08/20 10:43,賣出,582.0,54,1,240875,0.704313230994153,1170762,1.17076225,★ 獲利加碼 ,VIX出場
健策,3653.TW,4,2020/06/15 09:01,買進,288.0,2020/08/20 10:43,賣出,299.0,47,2,28962,0.0502815506370259,295067,0.295067485179409,★ 獲利加碼 ,VIX出場
景碩,3189.TW,1,2020/07/01 09:01,買進,72.1,2020/08/20 10:43,賣出,69.9,37,13,-32293,-0.0344521497919561,-32293,-0.0322920000000004,● 首筆進場,VIX出場
南電,8046.TW,1,2020/07/01 09:01,買進,82.5,2020/08/13 09:37,賣出,134.0,32,8,417104,0.631976988419666,417104,0.41710481235698,● 首筆進場,第一段停利(減碼30%)
南電,8046.TW,2,2020/07/01 09:01,買進,82.5,2020/08/20 10:43,賣出,128.5,37,4,186420,0.56491122668331,603525,0.603525517162472,● 首筆進場,VIX出場
南電,8046.TW,3,2020/07/22 09:01,買進,93.3,2020/08/20 10:43,賣出,128.5,22,6,208537,0.372522329403358,812063,0.812063517162471,★ 獲利加碼 ,VIX出場
南電,8046.TW,4,2020/07/22 10:39,買進,94.9,2020/08/20 10:43,賣出,128.5,22,6,198918,0.349348436951176,1010982,1.01098251716247,★ 獲利加碼 ,VIX出場
景碩,3189.TW,2,2020/08/04 09:45,買進,79.8,2020/08/20 10:43,賣出,69.9,13,6,-61198,-0.12781328320802,-93490,-0.0934890000000005,★ 獲利加碼 ,VIX出場
景碩,3189.TW,3,2020/08/05 09:48,買進,82.4,2020/08/20 10:43,賣出,69.9,12,6,-76828,-0.15539644012945,-170318,-0.170317,★ 獲利加碼 ,VIX出場
台玻,1802.TW,1,2021/06/01 09:01,買進,33.45,2021/08/13 10:57,賣出,35.75,53,29,74056,0.0763433401812856,74056,0.0740568571428561,● 首筆進場,時間出場
長榮,2603.TW,1,2021/06/01 09:01,買進,102.5,2021/06/29 10:00,賣出,174.0,20,6,425681,0.692165853658536,425681,0.425682,● 首筆進場,第一段停利(減碼30%)
長榮,2603.TW,2,2021/06/01 09:01,買進,102.5,2022/03/07 09:05,賣出,161.0,187,3,183637,0.597196433254656,609319,0.609319903225806,● 首筆進場,VIX出場
陽明,2609.TW,1,2021/06/01 09:01,買進,106.0,2021/06/29 09:40,賣出,162.5,20,6,335778,0.527952830188679,335778,0.335778,● 首筆進場,第一段停利(減碼30%)
陽明,2609.TW,2,2021/06/01 09:01,買進,106.0,2021/07/05 09:50,賣出,183.0,24,3,229266,0.720962264150944,565044,0.565044,● 首筆進場,第二段停利(再減30%)
群創,3481.TW,1,2021/06/01 09:01,買進,24.85,2021/07/14 09:01,賣出,20.55,31,40,-175632,-0.176692152917505,-175632,-0.175632,● 首筆進場,時間出場
南電,8046.TW,5,2021/06/01 09:01,買進,335.0,2021/11/03 09:06,賣出,518.0,108,3,557384,0.554611791787332,1568367,1.56836736790874,▲▲ 大賺加碼(底倉),第一段停利(減碼30%)
南電,8046.TW,6,2021/06/01 09:01,買進,335.0,2021/12/14 09:01,賣出,568.0,137,1,236129,0.704863503378629,1804496,1.80449664154058,▲▲ 大賺加碼(底倉),第二段停利(再減30%)
萬海,2615.TW,1,2021/06/01 09:15,買進,147.0,2021/06/22 10:05,賣出,259.0,15,3,333564,0.756380952380953,333564,0.333564,● 首筆進場,第一段停利(減碼30%)
萬海,2615.TW,2,2021/06/01 09:15,買進,147.0,2021/06/23 09:53,賣出,245.5,16,2,195430,0.664727891156463,528994,0.528994,● 首筆進場,第二段停利(再減30%)
萬海,2615.TW,3,2021/06/01 09:15,買進,147.0,2022/03/07 09:05,賣出,197.0,187,1,69899,0.475505253410266,598893,0.598893272251309,● 首筆進場,VIX出場
長榮,2603.TW,3,2021/06/02 09:21,買進,113.0,2022/03/07 09:05,賣出,161.0,186,4,202765,0.448597059663143,812085,0.812085774193547,★ 獲利加碼 ,VIX出場
陽明,2609.TW,3,2021/06/02 09:49,買進,117.0,2021/07/05 09:50,賣出,183.0,23,1,65400,0.558974358974359,630444,0.630444,★ 獲利加碼 ,第二段停利(再減30%)
陽明,2609.TW,4,2021/06/02 09:49,買進,117.0,2022/03/07 09:05,賣出,135.0,186,3,52488,0.149538461538463,682932,0.682932,★ 獲利加碼 ,VIX出場
萬海,2615.TW,4,2021/06/02 09:55,買進,165.0,2022/03/07 09:05,賣出,197.0,186,3,155588,0.314320841927125,754482,0.754482089005236,★ 獲利加碼 ,VIX出場
台玻,1802.TW,2,2021/06/03 09:04,買進,36.9,2021/08/13 10:57,賣出,35.75,51,14,-12645,-0.024477351916376,61411,0.0614118571428562,★ 獲利加碼 ,時間出場
長榮,2603.TW,4,2021/06/03 11:49,買進,117.5,2022/03/07 09:05,賣出,161.0,185,4,184729,0.393042278654768,996815,0.996815645161288,★ 獲利加碼 ,VIX出場
陽明,2609.TW,5,2021/06/15 09:10,買進,121.0,2022/03/07 09:05,賣出,135.0,178,4,53951,0.111471074380165,736884,0.736884,★ 獲利加碼 ,VIX出場
南電,8046.TW,7,2021/06/21 09:06,買進,372.0,2021/12/14 09:01,賣出,568.0,124,1,199055,0.53509482159097,2003551,2.00355191517242,★ 獲利加碼 ,第二段停利(再減30%)
南電,8046.TW,8,2021/06/21 09:06,買進,372.0,2022/03/07 09:05,賣出,523.0,174,1,153754,0.413318501578132,2157306,2.15730639775949,★ 獲利加碼 ,VIX出場
南電,8046.TW,9,2021/06/22 11:18,買進,383.0,2022/03/07 09:05,賣出,523.0,173,2,285464,0.372669667329151,2442771,2.44277136293362,★ 獲利加碼 ,VIX出場
台玻,1802.TW,3,2021/07/01 09:03,買進,39.5,2021/08/13 10:57,賣出,35.75,32,14,-49118,-0.0888209764918624,12293,0.0122938571428563,★ 獲利加碼 ,時間出場
欣興,3037.TW,1,2022/01/03 09:01,買進,235.5,2022/02/23 09:02,賣出,233.0,31,4,-13748,-0.0145944798301486,-13748,-0.013748,● 首筆進場,時間出場
華航,2610.TW,1,2022/02/07 09:01,買進,25.1,2022/03/07 09:05,賣出,27.95,20,39,107011,0.109318622944121,107011,0.107012,● 首筆進場,VIX出場
藥華藥,6446.TW,1,2022/02/07 09:01,買進,297.0,2022/03/07 09:05,賣出,314.0,20,3,47334,0.0531245791245792,47334,0.0473340000000001,● 首筆進場,VIX出場
華航,2610.TW,2,2022/02/11 10:19,買進,27.6,2022/03/07 09:05,賣出,27.95,16,19,4538,0.0086556064073221,111550,0.111551,★ 獲利加碼 ,VIX出場
華航,2610.TW,3,2022/02/15 09:55,買進,28.55,2022/03/07 09:05,賣出,27.95,14,19,-13548,-0.0249737302977234,98003,0.0980039999999996,★ 獲利加碼 ,VIX出場
欣興,3037.TW,2,2022/03/01 09:01,買進,259.0,2022/03/07 09:05,賣出,233.5,5,1,-26485,-0.102258687258687,-40233,-0.040233,▼ 連敗減碼(底倉),VIX出場
