商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,交易數量,獲利金額,報酬率,累計獲利金額,累計報酬率,進場訊息,出場訊息
"Invesco QQQ Trust",QQQ.US,1,2019/03/01 22:31,買進,174.45,2019/09/03 21:31,賣出,186.0799,129,5,54,0.0620802522212661,54,0.00541494999999993,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"SPDR S&P 500 ETF Trust",SPY.US,1,2019/09/03 21:31,買進,290.57,2019/11/01 21:31,賣出,304.99,44,3,39,0.0450379139851555,39,0.00392599999999999,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"Invesco QQQ Trust",QQQ.US,2,2019/11/01 21:31,買進,197.93,2021/09/01 21:31,賣出,381.03,462,5,909,0.919011771838528,964,0.0963649499999998,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"SPDR S&P 500 ETF Trust",SPY.US,2,2021/09/01 21:31,買進,452.3501,2021/10/01 21:31,賣出,431.4599,22,2,-46,-0.0506028405874123,-7,-0.000652040000000014,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"Invesco QQQ Trust",QQQ.US,3,2021/10/01 21:31,買進,359.1001,2022/01/03 22:31,賣出,399.7099,65,2,78,0.108910579529217,1042,0.10418691,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"SPDR S&P 500 ETF Trust",SPY.US,3,2022/01/03 22:31,買進,476.44,2022/05/02 21:31,賣出,412.87,83,2,-131,-0.13762488456049,-138,-0.0137660399999999,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"Invesco QQQ Trust",QQQ.US,4,2023/05/01 21:31,買進,322.1601,2024/12/02 22:31,賣出,511.4719,401,3,563,0.582459259645541,1605,0.16048045,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"SPDR S&P 500 ETF Trust",SPY.US,4,2024/12/02 22:31,買進,603.43,2025/01/02 22:31,賣出,589.4499,22,1,-16,-0.0264821106010642,-154,-0.01536405,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"Invesco QQQ Trust",QQQ.US,5,2025/01/02 22:31,買進,514.1601,2025/03/03 22:31,賣出,510.89,40,1,-5,-0.0102499202096781,1600,0.15995344,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"SPDR S&P 500 ETF Trust",SPY.US,5,2025/03/03 22:31,買進,595.88,2025/05/01 21:31,賣出,560.3199,43,1,-38,-0.0630329932201113,-191,-0.01912006,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"Invesco QQQ Trust",QQQ.US,6,2025/05/01 21:31,買進,483.17,--,賣出,--,94,2,213,0.220440010762257,1813,0.18125544,目前沒持有，則進場新標的,
