商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,進場訊息,出場訊息
"Invesco QQQ Trust",QQQ.US,1,2008/06/02,買進,49.1699,2008/07/01,賣出,45.5966,21,-0.076378,,
"Invesco QQQ Trust",QQQ.US,2,2009/10/01,買進,40.809,2009/11/02,賣出,40.9384,22,-0.000838,,
"iShares MSCI ACWI ex U.S. ETF",ACWX.US,1,2009/11/02,買進,39.18,2009/12/01,賣出,41.76,20,0.061591,,
"Invesco QQQ Trust",QQQ.US,3,2009/12/01,買進,43.805,2013/04/01,賣出,68.1809,836,0.550244,,
"iShares MSCI ACWI ex U.S. ETF",ACWX.US,2,2013/04/01,買進,42.42,2013/07/01,賣出,40.98,64,-0.037807,,
"Invesco QQQ Trust",QQQ.US,4,2013/07/01,買進,71.376,2016/03/01,賣出,105.7345,671,0.475454,,
"Invesco QQQ Trust",QQQ.US,5,2016/04/01,買進,110.3021,2016/05/02,賣出,106.664,21,-0.036847,,
"Invesco QQQ Trust",QQQ.US,6,2016/06/01,買進,110.2921,2019/01/02,賣出,154.7987,651,0.397925,,
"Invesco QQQ Trust",QQQ.US,7,2019/03/01,買進,174.2984,2022/05/02,賣出,318.3128,799,0.818954,,
"Invesco QQQ Trust",QQQ.US,8,2023/05/01,買進,322.0208,2025/09/26,賣出,595.97,604,0.843323,,持有到最後一期
