商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,交易數量,獲利金額,報酬率,累計獲利金額,累計報酬率,進場訊息,出場訊息
"富邦台50",006208.TW,1,2020/01/02 09:04,買進,53.8,2020/03/02 09:01,賣出,50,35,2,-8015,-0.0744888475836434,-8015,-0.00801500000000002,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,2,2020/01/02 09:05,買進,53.8,2020/03/02 09:01,賣出,50,35,1,-4008,-0.0744981412639407,-12023,-0.012023,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,3,2020/01/02 09:16,買進,53.8,2020/03/02 09:01,賣出,50,35,4,-16030,-0.0744888475836434,-28053,-0.0280530000000001,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,4,2020/05/04 09:04,買進,47.27,2020/06/01 09:01,賣出,48.25,21,2,1578,0.0166913475777445,-26475,-0.0264750000000001,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,5,2020/05/04 09:04,買進,47.27,2020/06/01 09:01,賣出,48.25,21,2,1578,0.0166913475777445,-24897,-0.0248970000000002,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,6,2020/05/04 09:04,買進,47.27,2020/06/01 09:01,賣出,48.25,21,2,1578,0.0166913475777445,-23319,-0.0233190000000002,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,7,2020/05/04 09:04,買進,47.27,2020/06/01 09:01,賣出,48.25,21,2,1578,0.0166913475777445,-21741,-0.0217410000000002,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"國泰費城半導體",00830.TW,1,2020/06/01 09:01,買進,17.55,2021/04/01 09:01,賣出,27.98,205,1,10679,0.608509948700573,10679,0.0106793495996951,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"國泰費城半導體",00830.TW,2,2020/06/01 09:01,買進,17.55,2021/04/01 09:01,賣出,27.98,205,1,10679,0.608509948700573,21359,0.0213586991993901,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"國泰費城半導體",00830.TW,3,2020/06/01 09:01,買進,17.55,2021/04/01 09:01,賣出,27.98,205,1,10679,0.608509948700573,32038,0.0320380487990852,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
