商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,交易數量,獲利金額,報酬率,累計獲利金額,累計報酬率,進場訊息,出場訊息
"元大美債20年",00679B.TW,1,2019/04/01 09:02,買進,39.84,2019/05/02 09:04,賣出,39.53,21,1,-469,-0.0117720883534137,-469,-0.000469000000000004,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大美債20年",00679B.TW,2,2019/04/01 09:02,買進,39.84,2019/05/02 09:04,賣出,39.53,21,1,-469,-0.0117720883534137,-938,-0.000938000000000008,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大美債20年",00679B.TW,3,2019/04/01 09:02,買進,39.84,2019/05/02 09:04,賣出,39.53,21,1,-469,-0.0117720883534137,-1407,-0.00140700000000001,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大美債20年",00679B.TW,4,2019/04/01 09:02,買進,39.84,2019/05/02 09:06,賣出,39.52,21,1,-479,-0.0120230923694779,-1886,-0.00188600000000001,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大美債20年",00679B.TW,5,2019/04/01 09:02,買進,39.84,2019/05/02 09:06,賣出,39.52,21,1,-479,-0.0120230923694779,-2365,-0.00236500000000001,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大美債20年",00679B.TW,6,2019/06/03 09:01,買進,42.77,2019/10/01 09:02,賣出,45.36,83,1,2686,0.0628028234203063,321,0.000321076757686488,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大美債20年",00679B.TW,7,2019/06/03 09:01,買進,42.77,2019/10/01 09:04,賣出,45.4,83,1,2726,0.0637436887097219,3047,0.00304739432380129,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大美債20年",00679B.TW,8,2019/06/03 09:01,買進,42.77,2019/10/01 09:04,賣出,45.4,83,1,2726,0.0637436887097219,5774,0.0057737118899161,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大美債20年",00679B.TW,9,2019/06/03 09:01,買進,42.77,2019/10/01 09:04,賣出,45.4,83,1,2726,0.0637436887097219,8500,0.0085000294560309,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大美債20年",00679B.TW,10,2020/02/03 09:01,買進,45.1,2020/04/01 09:12,賣出,51,42,1,5967,0.132316918063493,14468,0.0144675224606945,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大美債20年",00679B.TW,11,2020/02/03 09:01,買進,45.1,2020/04/01 09:14,賣出,51,42,1,5967,0.132316918063493,20435,0.020435015465358,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大美債20年",00679B.TW,12,2020/02/03 09:01,買進,45.1,2020/04/01 09:16,賣出,51,42,1,5967,0.132316918063493,26403,0.0264025084700216,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大美債20年",00679B.TW,13,2020/02/03 09:01,買進,45.1,2020/04/01 09:16,賣出,51,42,1,5967,0.132316918063493,32370,0.0323700014746851,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"國泰費城半導體",00830.TW,1,2020/07/01 09:01,買進,18.72,2020/09/01 09:06,賣出,21.28,45,2,4960,0.132478632478633,4960,0.00496000000000001,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"國泰費城半導體",00830.TW,2,2020/07/01 09:02,買進,18.72,2020/09/01 09:06,賣出,21.28,45,2,4960,0.132478632478633,9920,0.00992000000000003,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"國泰費城半導體",00830.TW,3,2020/07/01 09:03,買進,18.72,2020/09/01 09:06,賣出,21.28,45,2,4960,0.132478632478633,14880,0.01488,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"國泰費城半導體",00830.TW,4,2020/07/01 09:03,買進,18.72,2020/09/01 09:06,賣出,21.28,45,1,2480,0.132478632478633,17360,0.01736,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"國泰費城半導體",00830.TW,5,2020/07/01 09:04,買進,18.73,2020/09/01 09:06,賣出,21.28,45,3,7410,0.131873998932194,24770,0.0247700000000001,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"國泰費城半導體",00830.TW,6,2020/11/02 09:02,買進,20.46,2020/12/01 09:02,賣出,24.24,22,2,7381,0.180376344086022,32151,0.0321510000000001,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"國泰費城半導體",00830.TW,7,2020/11/02 09:03,買進,20.46,2020/12/01 09:02,賣出,24.24,22,1,3691,0.180400782013686,35842,0.0358420000000001,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"國泰費城半導體",00830.TW,8,2020/11/02 09:04,買進,20.46,2020/12/01 09:02,賣出,24.24,22,1,3691,0.180400782013686,39533,0.0395330000000001,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"國泰費城半導體",00830.TW,9,2020/11/02 09:04,買進,20.46,2020/12/01 09:02,賣出,24.24,22,1,3691,0.180400782013686,43224,0.0432240000000001,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"國泰費城半導體",00830.TW,10,2020/11/02 09:04,買進,20.46,2020/12/01 09:02,賣出,24.24,22,1,3691,0.180400782013686,46915,0.0469150000000001,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"國泰費城半導體",00830.TW,11,2020/11/02 09:04,買進,20.47,2020/12/01 09:02,賣出,24.24,22,1,3681,0.179824132877382,50596,0.0505960000000001,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"國泰費城半導體",00830.TW,12,2020/11/02 09:08,買進,20.46,2020/12/01 09:02,賣出,24.24,22,2,7381,0.180376344086022,57977,0.0579770000000001,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
