商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,交易數量,獲利金額,報酬率,累計獲利金額,累計報酬率,進場訊息,出場訊息
"富邦台50",006208.TW,1,2020/01/02 09:04,買進,53.8,2020/03/02 09:01,賣出,50,35,2,-8015,-0.0744888475836434,-8015,-0.00801500000000002,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,2,2020/01/02 09:05,買進,53.8,2020/03/02 09:01,賣出,50,35,1,-4008,-0.0744981412639407,-12023,-0.012023,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,3,2020/01/02 09:16,買進,53.8,2020/03/02 09:01,賣出,50,35,4,-16030,-0.0744888475836434,-28053,-0.0280530000000001,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,4,2020/05/04 09:04,買進,47.27,2022/05/03 09:01,賣出,74.1,489,3,91450,0.644878812442541,63397,0.0633972643924766,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,5,2020/05/04 09:04,買進,47.27,2022/05/03 09:01,賣出,74.1,489,3,91450,0.644878812442541,154848,0.154847528784953,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,6,2020/05/04 09:04,買進,47.27,2022/05/03 09:01,賣出,74.1,489,2,60967,0.644882338286981,215815,0.215814705046604,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,7,2023/05/02 09:01,買進,68.1,2023/10/02 09:03,賣出,71.45,106,1,4353,0.0639263947629305,220168,0.22016809252996,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,8,2023/05/02 09:01,買進,68.1,2023/10/02 09:03,賣出,71.45,106,1,4353,0.0639263947629305,224521,0.224521480013316,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,9,2023/05/02 09:01,買進,68.1,2023/10/02 09:03,賣出,71.45,106,1,4353,0.0639263947629305,228875,0.228874867496671,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,10,2023/05/02 09:01,買進,68.1,2023/10/02 09:03,賣出,71.5,106,2,8808,0.0646664652709755,237682,0.237682440066578,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,11,2023/12/01 09:03,買進,74.75,2025/04/01 09:03,賣出,102.25,319,5,143442,0.383791718619613,381125,0.381124594900659,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"富邦台50",006208.TW,12,2025/07/01 09:03,買進,113.8,--,賣出,--,59,3,58646,0.171780599155607,439770,0.439770491452383,目前沒持有，則進場新標的,
