商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,報酬率,進場訊息,出場訊息
"國泰費城半導體",00830.TW,1,2020/10/05,買進,20.64,2021/04/01,賣出,28.12,118,0.373514,,
"富邦台50",006208.TW,1,2021/04/01,買進,77.9,2021/06/01,賣出,79.1,40,0.011347,,
"國泰費城半導體",00830.TW,2,2021/06/01,買進,27.67,2021/10/01,賣出,28.72,85,0.0338,,
"富邦台50",006208.TW,2,2021/10/01,買進,77.45,2021/11/01,賣出,78.45,20,0.008864,,
"國泰費城半導體",00830.TW,3,2021/11/01,買進,30.46,2022/02/07,賣出,28.02,62,-0.003133,,
"富邦台50",006208.TW,3,2022/02/07,買進,81.95,2022/04/01,賣出,78.95,38,-0.040457,,
"國泰費城半導體",00830.TW,4,2022/04/01,買進,28.77,2022/05/03,賣出,26.04,19,-0.098507,,
"國泰費城半導體",00830.TW,5,2023/03/01,買進,26.34,2023/10/02,賣出,32.6,145,0.232716,,
"國泰費城半導體",00830.TW,6,2023/12/01,買進,34.02,2024/07/01,賣出,50.1,138,0.529063,,
"富邦台50",006208.TW,4,2024/07/01,買進,109.4,2025/04/01,賣出,103.75,180,-0.041157,,
"富邦台50",006208.TW,5,2025/07/01,買進,114.05,2025/09/19,賣出,132.7,58,0.168866,,持有到最後一期
