商品名稱,商品代碼,序號,進場時間,進場方向,進場價格,出場時間,出場方向,出場價格,持有區間,交易數量,獲利金額,報酬率,累計獲利金額,累計報酬率,進場訊息,出場訊息
"元大台灣50正2",00631L.TW,1,2019/03/04 09:01,買進,35.76,2019/04/01 09:01,賣出,38.15,21,2,4484,0.0626957494407154,4484,0.00448399999999997,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大台灣50正2",00631L.TW,2,2019/03/04 09:04,買進,35.75,2019/04/01 09:01,賣出,38.15,21,1,2252,0.0629930069930058,6736,0.00673599999999993,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大台灣50正2",00631L.TW,3,2019/03/04 09:04,買進,35.75,2019/04/01 09:01,賣出,38.15,21,1,2252,0.0629930069930058,8988,0.00898799999999988,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大台灣50正2",00631L.TW,4,2019/03/04 09:04,買進,35.75,2019/04/01 09:01,賣出,38.15,21,1,2252,0.0629930069930058,11240,0.0112399999999998,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大台灣50正2",00631L.TW,5,2019/03/04 09:04,買進,35.75,2019/04/01 09:01,賣出,38.15,21,1,2252,0.0629930069930058,13492,0.0134919999999998,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大台灣50正2",00631L.TW,6,2019/03/04 09:04,買進,35.75,2019/04/01 09:01,賣出,38.19,21,3,6876,0.0641118881118867,20368,0.0203679999999996,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大台灣50正2",00631L.TW,7,2019/03/04 09:09,買進,35.7,2019/04/01 09:01,賣出,38.19,21,2,4684,0.0656022408963574,25052,0.0250519999999996,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大台灣50正2",00631L.TW,8,2019/03/04 09:09,買進,35.7,2019/04/01 09:02,賣出,38.19,21,2,4684,0.0656022408963574,29736,0.0297359999999995,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大台灣50正2",00631L.TW,9,2019/05/02 09:01,買進,40.59,2019/06/03 09:01,賣出,36.18,23,8,-36508,-0.112429169746243,-6772,-0.00677200000000041,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大台灣50正2",00631L.TW,10,2019/05/02 09:01,買進,40.59,2019/06/03 09:01,賣出,36.18,23,4,-18254,-0.112429169746243,-25026,-0.0250260000000004,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大台灣50正2",00631L.TW,11,2019/08/01 09:01,買進,40.31,2020/02/03 09:01,賣出,47,120,12,78185,0.161632762755313,53159,0.0531589999999996,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大台灣50正2",00631L.TW,12,2020/05/04 09:01,買進,41.69,2021/10/01 09:01,賣出,123.6,350,11,897374,1.95681109487778,950533,0.950533,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大台灣50正2",00631L.TW,13,2021/11/01 09:01,買進,127.8,2022/03/01 09:01,賣出,138.55,78,3,30652,0.0799478351591024,981185,0.981185,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大台灣50正2",00631L.TW,14,2023/05/02 09:03,買進,112.85,2023/10/02 09:03,賣出,130.1,106,4,67056,0.148551174124945,1048,241,1.048241,目前沒持有，則進場新標的,持有的標的不在清單內 → 出場
"元大台灣50正2",00631L.TW,15,2023/12/01 09:03,買進,142.5,2024/11/01 09:03,賣出,229.05,221,2,171614,0.602154385964912,1219,855,1.219855,目前沒持有，則進場新標的,EMA→ 出場
"元大台灣50正2",00631L.TW,16,2023/12/01 09:03,買進,142.5,2024/11/01 09:03,賣出,229.05,221,1,85807,0.602154385964912,1305,662,1.305662,目前沒持有，則進場新標的,EMA→ 出場
"元大台灣50正2",00631L.TW,17,2025/08/01 09:03,買進,237.6,--,賣出,--,41,2,101991,0.214627525252526,1407,653,1.407653,目前沒持有，則進場新標的,
